net,length_um
_02667_,24.02µm
_03705_,24.02µm
_04377_,23.98µm
_01127_,23.96µm
_01200_,23.96µm
_03167_,23.96µm
_01680_,23.94µm
_02577_,23.94µm
_05228_,23.94µm
_02721_,23.9µm
_00022_,23.88µm
_00698_,23.88µm
_01440_,23.88µm
_02993_,23.88µm
_01002_,23.84µm
_00062_,23.82µm
_00289_,23.82µm
_05015_,23.82µm
_01062_,23.78µm
_03109_,23.78µm
_00624_,23.76µm
_02865_,23.76µm
_02960_,23.74µm
_04282_,23.74µm
_03936_,23.72µm
_02674_,23.68µm
_05058_,23.68µm
_05075_,23.68µm
_01031_,23.66µm
_03091_,23.66µm
_03509_,23.58µm
net266,23.58µm
_00383_,23.54µm
_02344_,23.54µm
_03228_,23.54µm
_04662_,23.52µm
_05290_,23.5µm
_00190_,23.48µm
_03384_,23.48µm
_03325_,23.44µm
_04987_,23.43µm
_00264_,23.4µm
_03726_,23.4µm
_02287_,23.395µm
_02251_,23.36µm
_00483_,23.34µm
_03360_,23.34µm
_00894_,23.3µm
_02539_,23.3µm
_03575_,23.3µm
_04444_,23.3µm
_00085_,23.28µm
_00337_,23.28µm
_00139_,23.22µm
net144,23.22µm
_00192_,23.18µm
_01777_,23.18µm
_03999_,23.16µm
_01411_,23.14µm
_04273_,23.08µm
_00396_,23.04µm
_01138_,22.98µm
_02971_,22.96µm
_03195_,22.96µm
_01352_,22.92µm
_01369_,22.92µm
_01396_,22.92µm
_03710_,22.92µm
_04684_,22.92µm
_00820_,22.9µm
_02023_,22.9µm
_03755_,22.9µm
_04025_,22.9µm
_05144_,22.88µm
_03939_,22.86µm
_01248_,22.84µm
_04456_,22.84µm
_00890_,22.82µm
_03464_,22.82µm
_03525_,22.82µm
_03698_,22.82µm
_03919_,22.78µm
_03508_,22.77µm
_00456_,22.74µm
_04898_,22.74µm
_02944_,22.72µm
_04162_,22.7µm
_01501_,22.68µm
_05138_,22.68µm
_00463_,22.66µm
_04612_,22.66µm
_02707_,22.64µm
_00464_,22.63µm
_02713_,22.62µm
_02424_,22.58µm
_04520_,22.58µm
_00050_,22.575µm
_05020_,22.56µm
_03599_,22.54µm
_01519_,22.5µm
_02578_,22.5µm
_02681_,22.5µm
_03616_,22.5µm
_03979_,22.5µm
_04506_,22.5µm
_01326_,22.48µm
_04202_,22.44µm
_02976_,22.435µm
_03063_,22.42µm
_03217_,22.42µm
_03729_,22.42µm
_00900_,22.4µm
_01551_,22.395µm
_03621_,22.37µm
_01060_,22.36µm
net129,22.35µm
_00359_,22.32µm
_04089_,22.28µm
_03709_,22.24µm
_00962_,22.2µm
_00866_,22.18µm
_04461_,22.18µm
_00245_,22.16µm
_02349_,22.16µm
_04406_,22.16µm
_04581_,22.135µm
_00081_,22.12µm
_03363_,22.12µm
_03714_,22.115µm
_01018_,22.08µm
_01678_,22.08µm
_04091_,22.08µm
_04275_,22.08µm
_03492_,22.02µm
_02970_,22µm
_02663_,21.96µm
_01009_,21.94µm
_04625_,21.92µm
_01555_,21.9µm
_04271_,21.9µm
_03669_,21.88µm
_01769_,21.74µm
_04291_,21.74µm
_04801_,21.74µm
_00732_,21.735µm
_00133_,21.72µm
_00669_,21.72µm
_03206_,21.72µm
_04979_,21.72µm
_03443_,21.7µm
_01731_,21.68µm
_00242_,21.66µm
_00512_,21.66µm
_00142_,21.64µm
_03914_,21.64µm
_02091_,21.62µm
_00247_,21.58µm
_00365_,21.58µm
