net,length_um
_03882_,21.58µm
_02686_,21.56µm
_00018_,21.54µm
_01260_,21.52µm
_02564_,21.52µm
_04901_,21.5µm
_01162_,21.48µm
_02276_,21.46µm
_02624_,21.46µm
_02350_,21.42µm
_03395_,21.42µm
_03564_,21.42µm
_02461_,21.4µm
_02924_,21.4µm
_02598_,21.38µm
net68,21.38µm
_01204_,21.36µm
_00382_,21.34µm
_00745_,21.34µm
_01560_,21.34µm
_02181_,21.34µm
_02214_,21.34µm
_02357_,21.3µm
_01240_,21.28µm
_03110_,21.28µm
_05221_,21.28µm
_01907_,21.27µm
_03971_,21.26µm
_01700_,21.24µm
_03944_,21.24µm
_04197_,21.24µm
_02956_,21.2µm
_02986_,21.18µm
_01403_,21.16µm
_02574_,21.16µm
_03924_,21.16µm
_04209_,21.16µm
_04211_,21.16µm
_02379_,21.14µm
_02664_,21.14µm
_03061_,21.12µm
_03852_,21.12µm
_03665_,21.1µm
_01512_,21.09µm
_02619_,21.08µm
_04046_,21.08µm
_02245_,21.06µm
_04825_,21.06µm
_04095_,21.04µm
_02529_,20.95µm
_03912_,20.92µm
_04108_,20.9µm
_00754_,20.88µm
_03679_,20.88µm
_01712_,20.86µm
_04167_,20.84µm
_00307_,20.82µm
_03643_,20.82µm
_04741_,20.82µm
_02831_,20.8µm
_05253_,20.76µm
_04522_,20.75µm
_01085_,20.7µm
_04368_,20.7µm
_02892_,20.68µm
_03835_,20.68µm
_04220_,20.68µm
_01185_,20.665µm
_00323_,20.66µm
_02507_,20.66µm
_02820_,20.66µm
_01084_,20.64µm
_04363_,20.6µm
_02400_,20.58µm
_02612_,20.56µm
_03733_,20.54µm
_01355_,20.52µm
_02247_,20.52µm
_03253_,20.52µm
_02885_,20.505µm
_03349_,20.5µm
_03246_,20.48µm
_00662_,20.46µm
_00765_,20.46µm
_00897_,20.46µm
_05263_,20.46µm
_00215_,20.4µm
_03373_,20.4µm
_03475_,20.4µm
_03831_,20.4µm
_03973_,20.4µm
_02758_,20.38µm
_00863_,20.36µm
_03085_,20.32µm
_02770_,20.3µm
_04285_,20.3µm
net145,20.3µm
_01595_,20.28µm
_01904_,20.28µm
_02940_,20.28µm
net240,20.28µm
_00164_,20.26µm
_01741_,20.2µm
_02587_,20.2µm
_04250_,20.2µm
_04423_,20.2µm
_03829_,20.18µm
_02972_,20.16µm
_00908_,20.12µm
_03486_,20.12µm
_02516_,20.11µm
_05143_,20.08µm
_03700_,20.04µm
_04414_,20.005µm
_02275_,20µm
_03432_,20µm
net635,20µm
_02201_,19.98µm
_02594_,19.98µm
_03107_,19.98µm
_04053_,19.975µm
_03878_,19.96µm
_03667_,19.94µm
_01729_,19.92µm
_01784_,19.92µm
_03305_,19.92µm
_03916_,19.92µm
_03809_,19.9µm
_01727_,19.88µm
_03071_,19.88µm
_04311_,19.86µm
_02530_,19.84µm
_03600_,19.84µm
_01936_,19.8µm
_02246_,19.8µm
_00592_,19.78µm
_04396_,19.74µm
_00031_,19.72µm
_00910_,19.7µm
_01648_,19.7µm
_02653_,19.7µm
_00780_,19.68µm
_00876_,19.68µm
_00591_,19.66µm
_05188_,19.64µm
_02108_,19.63µm
_02545_,19.62µm
_00975_,19.6µm
_03546_,19.58µm
_00363_,19.54µm
_02035_,19.54µm
_03121_,19.54µm
_05210_,19.54µm
_01573_,19.53µm
_04679_,19.52µm
_00414_,19.5µm
_04030_,19.5µm
_01124_,19.48µm
_02250_,19.465µm
_03500_,19.46µm
_04936_,19.46µm
_01229_,19.43µm
_00621_,19.42µm
_01865_,19.4µm
_03391_,19.4µm
_02823_,19.38µm
_03054_,19.38µm
_01057_,19.36µm
_01505_,19.36µm
_00163_,19.34µm
_04701_,19.34µm
_00550_,19.32µm
_03598_,19.32µm
_00403_,19.3µm
_03328_,19.3µm
_04385_,19.3µm
_01068_,19.28µm
_03387_,19.28µm
_03422_,19.28µm
_04433_,19.28µm
_00607_,19.26µm
_01563_,19.25µm
_03329_,19.24µm
_03926_,19.24µm
_02727_,19.2µm
_04947_,19.18µm
_03127_,19.16µm
_04510_,19.16µm
_01881_,19.14µm
_02082_,19.12µm
_02297_,19.12µm
_03039_,19.12µm
_03856_,19.12µm
_04082_,19.12µm
_05276_,19.1µm
_01309_,19.08µm
_01656_,19.08µm
_01541_,19.06µm
_02652_,19.04µm
_03250_,19.04µm
_01522_,19.03µm
_03439_,19.025µm
_00635_,19.02µm
_00850_,19.02µm
_02795_,19.02µm
_05081_,19µm
_03119_,18.98µm
_03618_,18.98µm
_03821_,18.98µm
_04606_,18.96µm
_01930_,18.95µm
_00125_,18.94µm
_04788_,18.94µm
_00168_,18.86µm
_01292_,18.86µm
_01391_,18.84µm
_00178_,18.82µm
_00568_,18.82µm
_01054_,18.82µm
_04191_,18.82µm
_04552_,18.82µm
_01347_,18.8µm
_04716_,18.79µm
_00295_,18.78µm
_01757_,18.74µm
_04293_,18.74µm
_00372_,18.66µm
_01538_,18.64µm
_03594_,18.64µm
_01506_,18.6µm
_05067_,18.595µm
_02891_,18.58µm
_04761_,18.58µm
_00542_,18.54µm
_00827_,18.54µm
_03958_,18.54µm
_04084_,18.54µm
_01607_,18.52µm
_02243_,18.5µm
_03139_,18.48µm
_03347_,18.48µm
_03823_,18.48µm
_03668_,18.46µm
_03141_,18.42µm
_01066_,18.415µm
_00680_,18.4µm
_01401_,18.4µm
_01510_,18.4µm
_03060_,18.4µm
_03166_,18.4µm
_04764_,18.4µm
_01249_,18.38µm
_03421_,18.36µm
_00471_,18.34µm
_01814_,18.34µm
_01852_,18.34µm
_00408_,18.32µm
_00540_,18.3µm
_00433_,18.28µm
_01366_,18.28µm
_04874_,18.27µm
_02385_,18.24µm
_01383_,18.22µm
_01681_,18.22µm
_03920_,18.22µm
_00613_,18.2µm
_01972_,18.18µm
_04059_,18.16µm
_04991_,18.14µm
_03254_,18.12µm
_03886_,18.12µm
_01751_,18.1µm
_01012_,18.08µm
_01514_,18.08µm
_02381_,18.065µm
_00418_,18.06µm
_02453_,18.06µm
_05286_,18.06µm
_01051_,18.04µm
_02834_,18.04µm
_04366_,18.04µm
_00019_,18.02µm
_02213_,18.02µm
_03562_,18.02µm
_05157_,17.98µm
net36,17.98µm
_01864_,17.96µm
_02188_,17.94µm
_02647_,17.92µm
_02241_,17.9µm
_03040_,17.9µm
_04036_,17.9µm
_00082_,17.88µm
_02790_,17.88µm
_03354_,17.88µm
_00188_,17.86µm
_01203_,17.86µm
_03947_,17.84µm
_04866_,17.8µm
_00466_,17.78µm
_00492_,17.78µm
_01438_,17.78µm
_02356_,17.74µm
_04008_,17.74µm
_01107_,17.72µm
_03052_,17.72µm
_00946_,17.7µm
_01394_,17.7µm
_01045_,17.68µm
_03980_,17.66µm
_04104_,17.66µm
_04121_,17.66µm
_01688_,17.655µm
_00141_,17.64µm
_01758_,17.64µm
_02864_,17.64µm
_05052_,17.6µm
_03880_,17.58µm
_01241_,17.56µm
_01557_,17.56µm
_03467_,17.56µm
_03556_,17.56µm
_02889_,17.54µm
_01277_,17.52µm
_02532_,17.52µm
_00764_,17.48µm
_01404_,17.48µm
_02498_,17.48µm
_02642_,17.46µm
_01038_,17.44µm
_03229_,17.44µm
_03357_,17.44µm
_04616_,17.44µm
_05078_,17.42µm
_04297_,17.41µm
_00117_,17.4µm
_03361_,17.4µm
_04305_,17.395µm
_00983_,17.38µm
_03549_,17.38µm
_03671_,17.38µm
_04421_,17.38µm
_04602_,17.38µm
_01564_,17.36µm
_04644_,17.36µm
_02027_,17.35µm
_00560_,17.34µm
_01604_,17.34µm
_01732_,17.34µm
_03126_,17.34µm
_00011_,17.28µm
_01927_,17.28µm
_02130_,17.28µm
_02370_,17.28µm
_02636_,17.28µm
_04900_,17.28µm
_03183_,17.26µm
_00950_,17.24µm
_03516_,17.24µm
_01040_,17.23µm
_01059_,17.22µm
_01193_,17.2µm
_01358_,17.2µm
_02191_,17.2µm
_03105_,17.2µm
_03225_,17.2µm
_03532_,17.2µm
_03824_,17.2µm
_01317_,17.18µm
_00728_,17.16µm
_00951_,17.16µm
_01011_,17.14µm
_02732_,17.14µm
_04164_,17.12µm
net127,17.12µm
net634,17.12µm
_00541_,17.08µm
_02087_,17.065µm
_03953_,17.06µm
_04856_,17.06µm
_04949_,17.06µm
_05249_,17.06µm
_03051_,17.04µm
_04471_,17.04µm
_02508_,17.02µm
_03136_,17.02µm
net128,17.02µm
_00369_,16.98µm
_00918_,16.98µm
_02053_,16.98µm
_01903_,16.96µm
_04317_,16.96µm
_00617_,16.94µm
_01331_,16.88µm
_03582_,16.88µm
_04374_,16.88µm
_00368_,16.86µm
_00940_,16.86µm
_03704_,16.86µm
_04722_,16.86µm
_00488_,16.84µm
_01453_,16.84µm
_03841_,16.82µm
_00995_,16.8µm
_03196_,16.76µm
_04906_,16.76µm
_00653_,16.74µm
_01052_,16.74µm
_01242_,16.74µm
_03003_,16.74µm
_03827_,16.74µm
_01892_,16.72µm
_03992_,16.72µm
_04524_,16.72µm
_00331_,16.7µm
_02734_,16.68µm
_03271_,16.68µm
_03889_,16.66µm
_01872_,16.64µm
_02352_,16.64µm
_03837_,16.64µm
_01450_,16.62µm
_03146_,16.62µm
_05089_,16.62µm
_00357_,16.6µm
_01171_,16.6µm
_04733_,16.6µm
_02655_,16.58µm
_00885_,16.56µm
_02437_,16.56µm
_02462_,16.56µm
_04223_,16.56µm
_05062_,16.56µm
net66,16.56µm
net125,16.56µm
_00352_,16.54µm
_01858_,16.54µm
_05149_,16.54µm
_01093_,16.53µm
_00977_,16.52µm
_02233_,16.52µm
_04914_,16.52µm
_05179_,16.52µm
_03369_,16.5µm
_03487_,16.5µm
_04911_,16.5µm
_03597_,16.48µm
_03617_,16.48µm
_00400_,16.465µm
_00027_,16.46µm
_02537_,16.46µm
_03426_,16.46µm
_04760_,16.46µm
_00121_,16.44µm
_00194_,16.4µm
_00428_,16.4µm
_00690_,16.4µm
_02898_,16.4µm
_03255_,16.4µm
_03379_,16.4µm
_04308_,16.4µm
_04999_,16.4µm
_01202_,16.38µm
_01870_,16.38µm
_00101_,16.36µm
_01320_,16.36µm
_00404_,16.34µm
_01851_,16.32µm
_03214_,16.3µm
_03812_,16.3µm
_00557_,16.28µm
_03326_,16.28µm
_03634_,16.28µm
_05057_,16.28µm
_05256_,16.28µm
_00593_,16.26µm
_00634_,16.26µm
_01542_,16.26µm
_01846_,16.26µm
_04346_,16.26µm
_05284_,16.26µm
_01897_,16.24µm
_00846_,16.2µm
_02258_,16.2µm
_02051_,16.18µm
_02763_,16.18µm
_02446_,16.16µm
_03213_,16.16µm
_03610_,16.16µm
_02702_,16.14µm
_02802_,16.14µm
_02816_,16.12µm
_02656_,16.1µm
_04500_,16.1µm
_03585_,16.08µm
_01868_,16.06µm
_03381_,16.06µm
_01998_,16.05µm
_00401_,16.04µm
_03365_,16.04µm
_03863_,16.04µm
_00522_,16.03µm
_00115_,16.02µm
_03315_,16.02µm
_04213_,16.02µm
_03390_,15.96µm
_03654_,15.96µm
_04244_,15.96µm
_02765_,15.94µm
_05004_,15.92µm
_02048_,15.9µm
_02735_,15.9µm
_03736_,15.9µm
_00559_,15.88µm
_02317_,15.88µm
_01798_,15.86µm
_03006_,15.86µm
_01937_,15.84µm
_02493_,15.84µm
_03453_,15.84µm
_03826_,15.84µm
_03501_,15.83µm
_04207_,15.82µm
_01534_,15.785µm
_04497_,15.78µm
_02071_,15.74µm
_02450_,15.74µm
_04941_,15.74µm
_05141_,15.74µm
_00061_,15.72µm
_01075_,15.72µm
_04060_,15.72µm
_01589_,15.7µm
_02536_,15.7µm
_03135_,15.7µm
_03894_,15.7µm
_02509_,15.68µm
_03638_,15.68µm
_04796_,15.68µm
_02270_,15.67µm
_04670_,15.66µm
_01800_,15.62µm
_00279_,15.6µm
_02373_,15.6µm
net131,15.58µm
_00220_,15.56µm
_00599_,15.56µm
_01745_,15.56µm
_02884_,15.56µm
_00917_,15.555µm
_00731_,15.54µm
_02637_,15.54µm
_03910_,15.54µm
_04283_,15.54µm
_05127_,15.54µm
_01569_,15.52µm
_01608_,15.52µm
_03542_,15.52µm
_03436_,15.5µm
net138,15.5µm
_00046_,15.48µm
_00241_,15.48µm
_04189_,15.48µm
_01763_,15.46µm
_02254_,15.46µm
_03066_,15.46µm
_04798_,15.46µm
_02012_,15.44µm
_00384_,15.42µm
_01970_,15.42µm
_03661_,15.42µm
_01558_,15.4µm
_01778_,15.4µm
_02661_,15.4µm
_03720_,15.4µm
_01164_,15.39µm
_02632_,15.38µm
_02945_,15.38µm
_00003_,15.36µm
_03476_,15.36µm
_03713_,15.36µm
_01962_,15.34µm
_02886_,15.34µm
_03355_,15.32µm
_05054_,15.32µm
_00829_,15.3µm
_01737_,15.3µm
_01854_,15.3µm
_02847_,15.3µm
_04194_,15.3µm
_04827_,15.295µm
_00377_,15.28µm
_01744_,15.28µm
_02083_,15.28µm
_02190_,15.28µm
_00735_,15.26µm
_00845_,15.26µm
_02457_,15.26µm
_00476_,15.24µm
_02740_,15.24µm
_04356_,15.24µm
_04528_,15.24µm
net135,15.24µm
_00640_,15.22µm
_00936_,15.22µm
_01113_,15.22µm
_01194_,15.22µm
_02771_,15.22µm
_03495_,15.22µm
_03666_,15.22µm
_00781_,15.2µm
_02599_,15.2µm
_01855_,15.18µm
_02040_,15.18µm
_02648_,15.18µm
_00342_,15.16µm
_03490_,15.16µm
_00048_,15.14µm
_01006_,15.14µm
_03538_,15.14µm
_05101_,15.14µm
_00235_,15.12µm
_04634_,15.1µm
_00434_,15.08µm
_01178_,15.08µm
_03079_,15.08µm
_04049_,15.08µm
_04932_,15.08µm
_00723_,15.06µm
_02186_,15.02µm
_04838_,15.02µm
_04904_,15.02µm
_02141_,14.98µm
_01146_,14.94µm
_03489_,14.94µm
_00388_,14.92µm
_03727_,14.92µm
_00437_,14.9µm
_05261_,14.9µm
_00313_,14.88µm
_00813_,14.88µm
_01348_,14.88µm
_02454_,14.88µm
_02825_,14.86µm
_03649_,14.86µm
_04106_,14.86µm
_01665_,14.84µm
_01986_,14.82µm
_02808_,14.82µm
_01364_,14.81µm
_00481_,14.8µm
_04373_,14.8µm
_04888_,14.8µm
_00601_,14.78µm
_03808_,14.78µm
_00838_,14.76µm
_02689_,14.76µm
_00767_,14.74µm
_01257_,14.74µm
_01753_,14.72µm
_02714_,14.72µm
_02747_,14.705µm
_00358_,14.68µm
_02277_,14.68µm
_04145_,14.68µm
_00924_,14.66µm
_01672_,14.66µm
_02114_,14.66µm
_00249_,14.64µm
_01281_,14.64µm
_01657_,14.64µm
_03172_,14.64µm
_03477_,14.64µm
_03650_,14.64µm
_00756_,14.62µm
_01497_,14.6µm
_01334_,14.58µm
_04545_,14.575µm
_01699_,14.56µm
_02416_,14.56µm
_03140_,14.56µm
_01090_,14.54µm
_03377_,14.54µm
_01236_,14.52µm
_02011_,14.52µm
_03226_,14.52µm
_04001_,14.52µm
_00618_,14.51µm
_00666_,14.5µm
_01489_,14.5µm
_01353_,14.48µm
_00574_,14.46µm
_03359_,14.46µm
_03909_,14.46µm
_04175_,14.46µm
_00973_,14.445µm
_01460_,14.44µm
_01552_,14.44µm
_01024_,14.42µm
_02591_,14.42µm
_03077_,14.42µm
_03111_,14.42µm
_01799_,14.39µm
_00091_,14.38µm
_00310_,14.38µm
_03482_,14.38µm
_03966_,14.38µm
_00450_,14.36µm
_01623_,14.36µm
_03795_,14.36µm
_04225_,14.36µm
_04546_,14.36µm
_00167_,14.34µm
_00459_,14.34µm
_01924_,14.34µm
_03304_,14.34µm
_05033_,14.34µm
_05044_,14.34µm
_01424_,14.32µm
_00154_,14.3µm
_00921_,14.3µm
_01198_,14.3µm
_03925_,14.3µm
_04995_,14.3µm
_03589_,14.29µm
_01329_,14.28µm
_01434_,14.26µm
_02449_,14.26µm
_00090_,14.24µm
_04195_,14.24µm
_01064_,14.22µm
_02408_,14.22µm
_03465_,14.22µm
_03896_,14.22µm
_02348_,14.2µm
_00398_,14.18µm
_02730_,14.18µm
_02987_,14.18µm
_01830_,14.175µm
_02109_,14.16µm
_02353_,14.14µm
_04970_,14.14µm
_04263_,14.12µm
_04840_,14.12µm
net82,14.12µm
_00253_,14.1µm
_00741_,14.1µm
_01594_,14.1µm
_03339_,14.1µm
_03440_,14.1µm
_04333_,14.1µm
_04863_,14.1µm
_03112_,14.08µm
_04040_,14.08µm
_04833_,14.08µm
_02146_,14.06µm
_03468_,14.06µm
_02283_,14.055µm
_01468_,14.04µm
_01950_,14.04µm
_02474_,14.04µm
_02611_,14.04µm
_04622_,14.04µm
_04668_,14.04µm
_04737_,14.04µm
_00584_,14.02µm
_03151_,14.02µm
_00152_,14.015µm
_01027_,13.99µm
_02888_,13.98µm
_03047_,13.97µm
_00290_,13.96µm
_01115_,13.96µm
_02211_,13.96µm
_02242_,13.96µm
_00298_,13.94µm
_01428_,13.94µm
_02365_,13.92µm
_00814_,13.9µm
_04378_,13.9µm
_01032_,13.88µm
_03364_,13.88µm
_01556_,13.86µm
_01832_,13.86µm
_03316_,13.86µm
_03817_,13.86µm
_04331_,13.86µm
_00312_,13.84µm
_00704_,13.84µm
_01295_,13.84µm
_01517_,13.84µm
_02281_,13.84µm
_02890_,13.84µm
_00309_,13.82µm
_03021_,13.82µm
_00989_,13.8µm
_01442_,13.8µm
_02444_,13.8µm
_03510_,13.8µm
_03609_,13.8µm
_03722_,13.8µm
_05006_,13.79µm
_01081_,13.78µm
_04789_,13.78µm
_01625_,13.76µm
_03493_,13.76µm
_04815_,13.76µm
_03243_,13.74µm
_03685_,13.74µm
_01486_,13.72µm
_01692_,13.72µm
_01863_,13.72µm
_03591_,13.72µm
_05145_,13.72µm
_02307_,13.7µm
_03241_,13.7µm
_04417_,13.7µm
_04931_,13.7µm
_00874_,13.68µm
_02124_,13.68µm
_00212_,13.67µm
_03655_,13.66µm
_04270_,13.65µm
_00887_,13.64µm
_03247_,13.64µm
_03759_,13.64µm
_01069_,13.62µm
_04698_,13.62µm
_03020_,13.6µm
_04420_,13.6µm
_02152_,13.58µm
_05150_,13.58µm
_01671_,13.575µm
_00750_,13.56µm
_01850_,13.56µm
_03192_,13.56µm
_03931_,13.56µm
_05245_,13.56µm
_00521_,13.54µm
_02442_,13.54µm
_02927_,13.54µm
_05229_,13.54µm
net99,13.54µm
_02113_,13.52µm
_02368_,13.52µm
_04672_,13.52µm
_01289_,13.5µm
_02716_,13.5µm
_00332_,13.48µm
_00649_,13.48µm
_01655_,13.48µm
_05021_,13.48µm
_01335_,13.46µm
_00448_,13.42µm
_03333_,13.42µm
_05110_,13.42µm
_00494_,13.4µm
_02809_,13.4µm
_02867_,13.4µm
_03011_,13.4µm
_03446_,13.4µm
_00830_,13.38µm
_02571_,13.38µm
_03576_,13.38µm
net126,13.38µm
_03601_,13.34µm
_03691_,13.34µm
_02018_,13.32µm
_02690_,13.32µm
_03766_,13.32µm
_02028_,13.3µm
_03543_,13.3µm
_03803_,13.3µm
_00324_,13.28µm
_00785_,13.28µm
_00872_,13.28µm
_01492_,13.28µm
_01771_,13.26µm
_02939_,13.26µm
_04018_,13.26µm
_05205_,13.26µm
_00006_,13.22µm
_01967_,13.22µm
_03026_,13.22µm
_02399_,13.2µm
_02742_,13.2µm
_03735_,13.2µm
_05080_,13.2µm
_04939_,13.185µm
_04666_,13.18µm
_04452_,13.17µm
_04047_,13.16µm
_04835_,13.16µm
_01367_,13.14µm
_02589_,13.14µm
_03865_,13.14µm
_04343_,13.14µm
_02101_,13.13µm
_00185_,13.12µm
_02072_,13.12µm
_02908_,13.12µm
_03748_,13.12µm
_02049_,13.1µm
_03045_,13.1µm
_04657_,13.1µm
_00760_,13.09µm
_00496_,13.08µm
_00729_,13.08µm
_01029_,13.08µm
_02095_,13.08µm
_02576_,13.08µm
_03796_,13.08µm
_00606_,13.06µm
_01154_,13.06µm
_02557_,13.06µm
_00341_,13.04µm
_00707_,13.04µm
_01212_,13.04µm
_03239_,13.04µm
_03595_,13.04µm
_04118_,13.04µm
_00280_,13.02µm
_02327_,13.02µm
_00794_,12.96µm
_03631_,12.96µm
_04075_,12.96µm
_04792_,12.96µm
_04981_,12.96µm
_04994_,12.96µm
_00320_,12.94µm
_00992_,12.94µm
_01417_,12.94µm
_02311_,12.94µm
_03058_,12.94µm
_00569_,12.92µm
_00661_,12.92µm
_01046_,12.92µm
_04983_,12.92µm
_05029_,12.92µm
net120,12.92µm
_03954_,12.9µm
_05271_,12.9µm
_02063_,12.89µm
_04369_,12.88µm
_04955_,12.88µm
_01535_,12.84µm
_01576_,12.84µm
_02936_,12.82µm
_03351_,12.82µm
_04891_,12.81µm
_00791_,12.8µm
_00841_,12.8µm
_03789_,12.8µm
_03906_,12.8µm
_03911_,12.8µm
_01925_,12.78µm
_01942_,12.78µm
_02208_,12.78µm
_00691_,12.76µm
_02285_,12.76µm
_02951_,12.76µm
_03098_,12.76µm
_01600_,12.75µm
_02985_,12.74µm
_04961_,12.74µm
_00427_,12.72µm
_00749_,12.72µm
_01709_,12.72µm
_02308_,12.72µm
_02438_,12.72µm
_02480_,12.72µm
_03276_,12.72µm
_04231_,12.72µm
_00173_,12.7µm
_01464_,12.7µm
_01091_,12.68µm
_01994_,12.68µm
_03102_,12.68µm
_03197_,12.68µm
_03311_,12.68µm
_01213_,12.66µm
_03240_,12.64µm
_03732_,12.64µm
_04985_,12.64µm
_05239_,12.64µm
_03776_,12.62µm
_03807_,12.62µm
_04677_,12.62µm
_04910_,12.62µm
_01487_,12.61µm
_00717_,12.6µm
_02920_,12.6µm
_04294_,12.6µm
_04494_,12.6µm
_04689_,12.6µm
_05025_,12.6µm
_00525_,12.58µm
_01933_,12.58µm
_02728_,12.58µm
_01849_,12.56µm
_02489_,12.56µm
_03036_,12.56µm
_03138_,12.56µm
_03430_,12.56µm
_03927_,12.56µm
_03221_,12.54µm
_03319_,12.54µm
_03742_,12.54µm
_04570_,12.54µm
_00285_,12.52µm
_02282_,12.52µm
_02513_,12.52µm
_02878_,12.5µm
_03106_,12.5µm
_03833_,12.5µm
_04318_,12.5µm
_04708_,12.5µm
_00122_,12.48µm
_02321_,12.48µm
_02367_,12.48µm
_04067_,12.48µm
_04595_,12.48µm
_00818_,12.46µm
_00948_,12.46µm
_02901_,12.46µm
_03533_,12.46µm
_04006_,12.44µm
_01716_,12.42µm
_04296_,12.42µm
_05003_,12.42µm
_02605_,12.4µm
_02290_,12.38µm
_03181_,12.38µm
_03948_,12.38µm
_04120_,12.38µm
_04916_,12.38µm
_02127_,12.36µm
_03884_,12.36µm
_00964_,12.34µm
_02731_,12.34µm
_03248_,12.325µm
_00905_,12.32µm
_00066_,12.3µm
_00387_,12.3µm
_00473_,12.3µm
_04372_,12.3µm
_03657_,12.29µm
_01077_,12.26µm
_02487_,12.26µm
_02773_,12.26µm
_03922_,12.26µm
_01210_,12.24µm
_02720_,12.24µm
_00674_,12.22µm
_00692_,12.22µm
_01094_,12.22µm
_01179_,12.22µm
_01513_,12.22µm
_02882_,12.22µm
_03774_,12.22µm
_04966_,12.22µm
_00149_,12.2µm
_02064_,12.2µm
_03673_,12.2µm
_04515_,12.2µm
_05098_,12.2µm
_01880_,12.18µm
_02448_,12.18µm
_02525_,12.18µm
_03434_,12.18µm
_03929_,12.18µm
_04037_,12.18µm
_05189_,12.18µm
_05289_,12.18µm
_05153_,12.175µm
_00491_,12.16µm
_02512_,12.16µm
_03987_,12.16µm
_04128_,12.16µm
_04158_,12.16µm
_01231_,12.15µm
_01675_,12.14µm
_04002_,12.14µm
_04843_,12.14µm
net139,12.14µm
_00304_,12.12µm
_00305_,12.12µm
_01516_,12.12µm
_01520_,12.12µm
_03113_,12.12µm
_03547_,12.12µm
_04649_,12.12µm
_04940_,12.12µm
_05213_,12.12µm
_02073_,12.1µm
_03905_,12.1µm
_03918_,12.1µm
_04370_,12.1µm
_05116_,12.1µm
_00499_,12.08µm
_03185_,12.08µm
_04481_,12.08µm
_04539_,12.08µm
_05158_,12.08µm
_01853_,12.06µm
_04745_,12.06µm
_03738_,12.055µm
_00191_,12.04µm
_00458_,12.04µm
_00682_,12.04µm
_01698_,12.04µm
_03198_,12.04µm
_03940_,12.04µm
_04794_,12.04µm
_01894_,12.03µm
_00632_,12.02µm
_02265_,12.02µm
_04020_,12.02µm
_00543_,12µm
_01570_,12µm
_01578_,12µm
_02017_,12µm
_02853_,12µm
_03046_,12µm
_04083_,12µm
_04198_,12µm
_02465_,11.985µm
_01646_,11.98µm
_02120_,11.98µm
_01279_,11.96µm
_01754_,11.96µm
_02398_,11.96µm
_02764_,11.96µm
_04996_,11.955µm
_00663_,11.95µm
_02546_,11.94µm
_02629_,11.94µm
_00886_,11.93µm
_03366_,11.93µm
_00715_,11.92µm
_01235_,11.92µm
_01402_,11.92µm
_03032_,11.92µm
_03100_,11.92µm
_04735_,11.92µm
_01670_,11.9µm
_03716_,11.9µm
_03881_,11.9µm
_00157_,11.88µm
_03479_,11.88µm
_02209_,11.86µm
_02517_,11.86µm
_04098_,11.86µm
_00303_,11.85µm
_00283_,11.84µm
_01299_,11.84µm
_02459_,11.84µm
_04090_,11.84µm
_04217_,11.84µm
net69,11.84µm
net81,11.84µm
B[19],11.82µm
_00566_,11.82µm
_03009_,11.82µm
_04058_,11.82µm
_00966_,11.8µm
_02607_,11.8µm
_02977_,11.8µm
_04088_,11.8µm
_05181_,11.8µm
_01328_,11.78µm
_01603_,11.78µm
_03174_,11.78µm
_04405_,11.78µm
_05118_,11.78µm
_05262_,11.78µm
_00204_,11.76µm
_00452_,11.76µm
_00768_,11.76µm
_00873_,11.76µm
_01884_,11.76µm
_01959_,11.76µm
_02324_,11.76µm
_03064_,11.76µm
_03163_,11.76µm
_04325_,11.76µm
_04350_,11.76µm
_02194_,11.74µm
_02726_,11.74µm
net136,11.74µm
_02478_,11.72µm
_04287_,11.72µm
_04652_,11.72µm
_03898_,11.715µm
_03294_,11.71µm
_00137_,11.7µm
_01269_,11.7µm
_01490_,11.7µm
_02995_,11.7µm
_03073_,11.7µm
_04687_,11.7µm
_05252_,11.7µm
_00508_,11.68µm
_00777_,11.68µm
_02464_,11.68µm
_03268_,11.68µm
_01601_,11.67µm
_00752_,11.66µm
_01222_,11.66µm
_01233_,11.66µm
_01553_,11.66µm
_01993_,11.66µm
_03611_,11.66µm
_02568_,11.64µm
_03050_,11.64µm
_03177_,11.64µm
_03293_,11.64µm
_05018_,11.625µm
_00379_,11.62µm
_01130_,11.62µm
_01929_,11.62µm
_03447_,11.62µm
_03517_,11.62µm
_05292_,11.62µm
_03915_,11.6µm
_00193_,11.58µm
_00258_,11.58µm
_00329_,11.58µm
_00630_,11.58µm
_01392_,11.58µm
_01720_,11.58µm
_02058_,11.58µm
_02843_,11.58µm
_03114_,11.58µm
_03130_,11.58µm
_04445_,11.58µm
_01061_,11.56µm
_01485_,11.56µm
_02981_,11.56µm
_04302_,11.56µm
_01479_,11.54µm
_02427_,11.54µm
_02630_,11.54µm
_02698_,11.54µm
_04064_,11.54µm
_04276_,11.54µm
_05283_,11.54µm
net134,11.54µm
_00423_,11.52µm
_01429_,11.52µm
_00176_,11.5µm
_01310_,11.5µm
_01458_,11.5µm
_04257_,11.5µm
_05234_,11.5µm
_01764_,11.48µm
_03092_,11.48µm
_03277_,11.48µm
_04862_,11.48µm
_01122_,11.46µm
_02249_,11.46µm
_02887_,11.46µm
_04807_,11.46µm
_00211_,11.44µm
_00776_,11.44µm
_00806_,11.44µm
_02278_,11.44µm
_02997_,11.44µm
_03586_,11.44µm
_01996_,11.42µm
_03015_,11.42µm
_03932_,11.42µm
_03970_,11.42µm
_04785_,11.42µm
_00422_,11.4µm
_01649_,11.4µm
_01714_,11.39µm
_01228_,11.38µm
